Dishes,Ingredients,Diet
Aloo Baingan,"Potato, Eggplant, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Bhujia,"Potato, Chickpea Flour, Sunflower Oil, Cumin Seeds, Turmeric, Red Chili Powder",Vegetarian
Aloo Bonda,"Potato, Chickpea Flour, Onion, Green Chilies, Ginger, Curry Leaves, Mustard Seeds, Turmeric",Vegetarian
Aloo Chole,"Potato, Chickpeas, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Gobi,"Potato, Cauliflower, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Matar,"Potato, Green Peas, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Methi,"Potato, Fenugreek Leaves, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Palak,"Potato, Spinach, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Paratha,"Wheat Flour, Potato, Green Chilies, Ginger, Cumin Seeds, Coriander Leaves, Ghee",Vegetarian
Aloo Parwal,"Potato, Pointed Gourd, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Shimla Mirch,"Potato, Bell Pepper, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Tikki,"Potato, Chickpea Flour, Green Chilies, Ginger, Coriander Leaves, Cumin Powder, Chaat Masala",Vegetarian
Aloo Vada,"Potato, Chickpea Flour, Green Chilies, Ginger, Curry Leaves, Mustard Seeds, Turmeric",Vegetarian
Ambot Tik,"Mackerel Fish, Kokum, Red Chilies, Coriander Seeds, Cumin Seeds, Turmeric, Garlic, Ginger",Non-Vegetarian
Ambur Chicken Biryani,"Seeraga Samba Rice, Yogurt, Tomato, Onion, Green Chilies, Ginger, Garlic, Garam Masala, Turmeric",Non-Vegetarian
Andhra Chicken Curry,"Chicken, Onion, Tomato, Green Chilies, Ginger, Garlic, Curry Leaves, Turmeric, Red Chilies, Coriander Powder",Non-Vegetarian
Andhra Chicken Fry,"Chicken, Onion, Green Chilies, Ginger, Garlic, Curry Leaves, Turmeric, Red Chilies, Coriander Powder",Non-Vegetarian
